Temperature,Jsc 2,Jsc3,Voc2,Voc3,FF1,FF2,FF3,Hysteresis2,Hysteresis3,Jsc4,Voc4,FF4,Hysteresis4,PCE4
20,0.99967,0.99968,0.99833,0.99816,1,1.00123,1.0014,0.98955,0.98917,0.99969,0.998,1.00156,0.9888,0.99926
20,0.99968,0.99969,0.99816,0.998,1.00123,1.0014,1.00156,0.98917,0.9888,0.99969,0.99783,1.00172,0.98844,0.99926
20,0.99969,0.99969,0.998,0.99783,1.0014,1.00156,1.00172,0.9888,0.98844,0.9997,0.99767,1.00188,0.98809,0.99932
20,0.99969,0.9997,0.99783,0.99767,1.00156,1.00172,1.00188,0.98844,0.98809,0.9997,0.99751,1.00203,0.98776,0.99931
20,0.9997,0.9997,0.99767,0.99751,1.00172,1.00188,1.00203,0.98809,0.98776,0.99971,0.99735,1.00218,0.98743,0.99931
20,0.9997,0.99971,0.99751,0.99735,1.00188,1.00203,1.00218,0.98776,0.98743,0.99971,0.99719,1.00232,0.98711,0.99929
20,0.99971,0.99971,0.99735,0.99719,1.00203,1.00218,1.00232,0.98743,0.98711,0.99971,0.99704,1.00246,0.98681,0.99928
20,0.99971,0.99971,0.99719,0.99704,1.00218,1.00232,1.00246,0.98711,0.98681,0.99971,0.99688,1.0026,0.98651,0.99926
20,0.99971,0.99971,0.99704,0.99688,1.00232,1.00246,1.0026,0.98681,0.98651,0.99972,0.99673,1.00273,0.98623,0.99924
20,0.99971,0.99972,0.99688,0.99673,1.00246,1.0026,1.00273,0.98651,0.98623,0.99972,0.99658,1.00286,0.98595,0.99922
20,0.99972,0.99972,0.99673,0.99658,1.0026,1.00273,1.00286,0.98623,0.98595,0.99972,0.99643,1.00298,0.98569,0.99919
20,0.99972,0.99972,0.99658,0.99643,1.00273,1.00286,1.00298,0.98595,0.98569,0.99972,0.99628,1.00311,0.98544,0.99917
20,0.99972,0.99972,0.99643,0.99628,1.00286,1.00298,1.00311,0.98569,0.98544,0.99971,0.99613,1.00322,0.9852,0.99913
20,0.99972,0.99971,0.99628,0.99613,1.00298,1.00311,1.00322,0.98544,0.9852,0.99971,0.99599,1.00334,0.98497,0.9991
20,0.99971,0.99971,0.99613,0.99599,1.00311,1.00322,1.00334,0.9852,0.98497,0.99971,0.99584,1.00345,0.98475,0.99906
20,0.99971,0.99971,0.99599,0.99584,1.00322,1.00334,1.00345,0.98497,0.98475,0.99971,0.9957,1.00355,0.98454,0.99902
