Temperature,Jsc2,Jsc3,Voc2,Voc3,FF1,FF2,FF3,Hysteresis2,Hysteresis3
50,1.00022,1.00039,1.00004,1.00009,1,1.0015,1.00154,1.02392,1.02433
50,1.00039,1.0002,1.00009,1.00013,1.0015,1.00154,1.00158,1.02433,1.02473
50,1.0002,0.99985,1.00013,1.00016,1.00154,1.00158,1.00161,1.02473,1.02512
50,0.99985,0.99981,1.00016,1.0002,1.00158,1.00161,1.00164,1.02512,1.0255
50,0.99981,0.99989,1.0002,1.00026,1.00161,1.00164,1.00168,1.0255,1.02587
50,0.99989,1.00018,1.00026,1.00032,1.00164,1.00168,1.00171,1.02587,1.02622
50,1.00018,1.00082,1.00032,1.00038,1.00168,1.00171,1.00174,1.02622,1.02657
50,1.00082,0.99926,1.00038,1.00044,1.00171,1.00174,1.00178,1.02657,1.0269
50,0.99926,0.99989,1.00044,1.00048,1.00174,1.00178,1.00181,1.0269,1.02722
50,0.99989,0.99986,1.00048,1.00054,1.00178,1.00181,1.00184,1.02722,1.02752
50,0.99986,1.00037,1.00054,1.00058,1.00181,1.00184,1.00187,1.02752,1.02782
50,1.00037,0.9999,1.00058,1.00065,1.00184,1.00187,1.0019,1.02782,1.0281
50,0.9999,1.0006,1.00065,1.00069,1.00187,1.0019,1.00193,1.0281,1.02837
50,1.0006,0.99966,1.00069,1.00072,1.0019,1.00193,1.00196,1.02837,1.02863
50,0.99966,1.00011,1.00072,1.00078,1.00193,1.00196,1.00199,1.02863,1.02888
50,1.00011,0.99975,1.00078,1.00082,1.00196,1.00199,1.00201,1.02888,1.02912
50,0.99975,0.99968,1.00082,1.00088,1.00199,1.00201,1.00204,1.02912,1.02934
50,0.99968,0.9997,1.00088,1.00093,1.00201,1.00204,1.00207,1.02934,1.02955
50,0.9997,0.99956,1.00093,1.00097,1.00204,1.00207,1.00209,1.02955,1.02975
50,0.99956,0.99893,1.00097,1.00102,1.00207,1.00209,1.00212,1.02975,1.02994
50,0.99893,0.99974,1.00102,1.00106,1.00209,1.00212,1.00215,1.02994,1.03012
50,0.99974,0.99946,1.00106,1.00109,1.00212,1.00215,1.00217,1.03012,1.03028
50,0.99946,0.99923,1.00109,1.00114,1.00215,1.00217,1.0022,1.03028,1.03044
50,0.99923,1.00025,1.00114,1.00118,1.00217,1.0022,1.00222,1.03044,1.03058
50,1.00025,0.99976,1.00118,1.00122,1.0022,1.00222,1.00225,1.03058,1.03071
50,0.99976,0.99958,1.00122,1.00126,1.00222,1.00225,1.00227,1.03071,1.03082
50,0.99958,0.99966,1.00126,1.00129,1.00225,1.00227,1.00229,1.03082,1.03093
50,0.99966,0.99955,1.00129,1.00132,1.00227,1.00229,1.00232,1.03093,1.03102
50,0.99955,1.00017,1.00132,1.00136,1.00229,1.00232,1.00234,1.03102,1.0311
50,1.00017,0.99962,1.00136,1.00139,1.00232,1.00234,1.00236,1.0311,1.03117
50,0.99962,1.00035,1.00139,1.00142,1.00234,1.00236,1.00238,1.03117,1.03123
50,1.00035,0.99981,1.00142,1.00147,1.00236,1.00238,1.0024,1.03123,1.03128
50,0.99981,1.00018,1.00147,1.00149,1.00238,1.0024,1.00243,1.03128,1.03131
50,1.00018,1.00039,1.00149,1.00154,1.0024,1.00243,1.00245,1.03131,1.03133
50,1.00039,0.99966,1.00154,1.0016,1.00243,1.00245,1.00247,1.03133,1.03134
50,0.99966,1.00057,1.0016,1.00165,1.00245,1.00247,1.00249,1.03134,1.03134
50,1.00057,1.00076,1.00165,1.0017,1.00247,1.00249,1.00251,1.03134,1.03133
50,1.00076,0.9999,1.0017,1.00174,1.00249,1.00251,1.00253,1.03133,1.0313
50,0.9999,1.00022,1.00174,1.00178,1.00251,1.00253,1.00255,1.0313,1.03126
50,1.00022,0.99922,1.00178,1.00183,1.00253,1.00255,1.00257,1.03126,1.03122
50,0.99922,0.9997,1.00183,1.00186,1.00255,1.00257,1.00259,1.03122,1.03115
50,0.9997,1.00008,1.00186,1.00189,1.00257,1.00259,1.00261,1.03115,1.03108
50,1.00008,0.99947,1.00189,1.00194,1.00259,1.00261,1.00263,1.03108,1.031
50,0.99947,0.99989,1.00194,1.00196,1.00261,1.00263,1.00264,1.031,1.0309
50,0.99989,0.99961,1.00196,1.00197,1.00263,1.00264,1.00266,1.0309,1.03079
50,0.99961,0.99988,1.00197,1.00202,1.00264,1.00266,1.00268,1.03079,1.03067
50,0.99988,0.99964,1.00202,1.00204,1.00266,1.00268,1.0027,1.03067,1.03054
50,0.99964,0.99941,1.00204,1.00206,1.00268,1.0027,1.00272,1.03054,1.03039
50,0.99941,1.00036,1.00206,1.00209,1.0027,1.00272,1.00273,1.03039,1.03024
50,1.00036,1.00004,1.00209,1.00213,1.00272,1.00273,1.00275,1.03024,1.02961
50,1.00004,1.00023,1.00213,1.00216,1.00273,1.00275,1.00277,1.02961,1.0291
50,1.00023,1.00039,1.00216,1.00217,1.00275,1.00277,1.00278,1.0291,1.02858
50,1.00039,1.00015,1.00217,1.00219,1.00277,1.00278,1.0028,1.02858,1.02813
50,1.00015,1.00026,1.00219,1.00224,1.00278,1.0028,1.00282,1.02813,1.02766
50,1.00026,1.00064,1.00224,1.00227,1.0028,1.00282,1.00283,1.02766,1.02729
50,1.00064,1.00089,1.00227,1.00229,1.00282,1.00283,1.00285,1.02729,1.02689
50,1.00089,1.00075,1.00229,1.00233,1.00283,1.00285,1.00286,1.02689,1.02654
50,1.00075,1.00086,1.00233,1.00235,1.00285,1.00286,1.00288,1.02654,1.02607
50,1.00086,1.00058,1.00235,1.00239,1.00286,1.00288,1.00289,1.02607,1.02577
50,1.00058,1.00035,1.00239,1.00242,1.00288,1.00289,1.00291,1.02577,1.02537
50,1.00035,1.00066,1.00242,1.00245,1.00289,1.00291,1.00292,1.02537,1.02502
50,1.00066,1.00096,1.00245,1.00246,1.00291,1.00292,1.00294,1.02502,1.02459
50,1.00096,1.00122,1.00246,1.0025,1.00292,1.00294,1.00295,1.02459,1.02429
50,1.00122,1.00123,1.0025,1.00253,1.00294,1.00295,1.00296,1.02429,1.02391
50,1.00123,1.00109,1.00253,1.00256,1.00295,1.00296,1.00298,1.02391,1.0235
50,1.00109,1.00137,1.00256,1.00258,1.00296,1.00298,1.00299,1.0235,1.02308
50,1.00137,1.00171,1.00258,1.00261,1.00298,1.00299,1.003,1.02308,1.02273
50,1.00171,1.00144,1.00261,1.00265,1.00299,1.003,1.00301,1.02273,1.02251
50,1.00144,1.00068,1.00265,1.00269,1.003,1.00301,1.00302,1.02251,1.02216
50,1.00068,1.00129,1.00269,1.0027,1.00301,1.00302,1.00304,1.02216,1.0219
50,1.00129,1.00095,1.0027,1.00271,1.00302,1.00304,1.00305,1.0219,1.02152
50,1.00095,1.00057,1.00271,1.00274,1.00304,1.00305,1.00306,1.02152,1.02117
50,1.00057,1.00126,1.00274,1.00277,1.00305,1.00306,1.00307,1.02117,1.02076
50,1.00126,1.00061,1.00277,1.00281,1.00306,1.00307,1.00307,1.02076,1.02044
50,1.00061,1.00091,1.00281,1.00281,1.00307,1.00307,1.00308,1.02044,1.02012
50,1.00091,1.00148,1.00281,1.00284,1.00307,1.00308,1.00309,1.02012,1.01976
50,1.00148,1.00077,1.00284,1.00288,1.00308,1.00309,1.0031,1.01976,1.01945
50,1.00077,1.00109,1.00288,1.00292,1.00309,1.0031,1.0031,1.01945,1.01908
50,1.00109,1.00164,1.00292,1.00293,1.0031,1.0031,1.00311,1.01908,1.01872
50,1.00164,1.00042,1.00293,1.00294,1.0031,1.00311,1.00311,1.01872,1.01837
50,1.00042,1.00086,1.00294,1.00295,1.00311,1.00311,1.00312,1.01837,1.01802
50,1.00086,1.00094,1.00295,1.00299,1.00311,1.00312,1.00312,1.01802,1.01766
50,1.00094,1.00153,1.00299,1.00301,1.00312,1.00312,1.00312,1.01766,1.01738
50,1.00153,1.00207,1.00301,1.00303,1.00312,1.00312,1.00313,1.01738,1.01712
50,1.00207,1.00207,1.00303,1.00304,1.00312,1.00313,1.00313,1.01712,1.01678
50,1.00207,1.0021,1.00304,1.00304,1.00313,1.00313,1.00313,1.01678,1.01649
50,1.0021,1.00192,1.00304,1.00305,1.00313,1.00313,1.00312,1.01649,1.01622
50,1.00192,1.00206,1.00305,1.00306,1.00313,1.00312,1.00312,1.01622,1.01592
50,1.00206,1.00153,1.00306,1.00308,1.00312,1.00312,1.00312,1.01592,1.01567
50,1.00153,1.00151,1.00308,1.00311,1.00312,1.00312,1.00311,1.01567,1.01531
50,1.00151,1.00229,1.00311,1.00313,1.00312,1.00311,1.00311,1.01531,1.01493
50,1.00229,1.00213,1.00313,1.00315,1.00311,1.00311,1.0031,1.01493,1.01469
50,1.00213,1.00135,1.00315,1.00315,1.00311,1.0031,1.0031,1.01469,1.01442
50,1.00135,1.002,1.00315,1.0032,1.0031,1.0031,1.00309,1.01442,1.01415
50,1.002,1.00198,1.0032,1.0032,1.0031,1.00309,1.00309,1.01415,1.01397
50,1.00198,1.00201,1.0032,1.00322,1.00309,1.00309,1.00308,1.01397,1.01371
50,1.00201,1.00147,1.00322,1.00324,1.00309,1.00308,1.00308,1.01371,1.01335
50,1.00147,1.00193,1.00324,1.00327,1.00308,1.00308,1.0031,1.01335,1.01304
50,1.00193,1.00211,1.00327,1.00329,1.00308,1.0031,1.00312,1.01304,1.01279
50,1.00211,1.00196,1.00329,1.00331,1.0031,1.00312,1.00314,1.01279,1.01246
50,1.00196,1.00116,1.00331,1.00336,1.00312,1.00314,1.00316,1.01246,1.01202
50,1.00116,1.00164,1.00336,1.00341,1.00314,1.00316,1.00319,1.01202,1.01174
50,1.00164,1.00209,1.00341,1.00346,1.00316,1.00319,1.00321,1.01174,1.01145
50,1.00209,1.00219,1.00346,1.00351,1.00319,1.00321,1.00324,1.01145,1.01122
50,1.00219,1.00173,1.00351,1.00356,1.00321,1.00324,1.00326,1.01122,1.01096
50,1.00173,1.00172,1.00356,1.00357,1.00324,1.00326,1.00329,1.01096,1.01067
50,1.00172,1.00229,1.00357,1.00361,1.00326,1.00329,1.00332,1.01067,1.01039
