Jsc4,Voc4,FF4,Hysteresis4,PCE4
1.0002,1.00013,1.00158,1.02473,1.00031
0.99985,1.00016,1.00161,1.02512,1.00037
0.99981,1.0002,1.00164,1.0255,1.00049
0.99989,1.00026,1.00168,1.02587,1.0007
1.00018,1.00032,1.00171,1.02622,1.00091
1.00082,1.00038,1.00174,1.02657,1.00112
0.99926,1.00044,1.00178,1.0269,1.00136
0.99989,1.00048,1.00181,1.02722,1.0015
0.99986,1.00054,1.00184,1.02752,1.00173
1.00037,1.00058,1.00187,1.02782,1.00194
0.9999,1.00065,1.0019,1.0281,1.00233
1.0006,1.00069,1.00193,1.02837,1.00246
0.99966,1.00072,1.00196,1.02863,1.00256
1.00011,1.00078,1.00199,1.02888,1.00271
0.99975,1.00082,1.00201,1.02912,1.00284
0.99968,1.00088,1.00204,1.02934,1.00306
0.9997,1.00093,1.00207,1.02955,1.00338
0.99956,1.00097,1.00209,1.02975,1.00355
0.99893,1.00102,1.00212,1.02994,1.00373
0.99974,1.00106,1.00215,1.03012,1.00388
0.99946,1.00109,1.00217,1.03028,1.00399
0.99923,1.00114,1.0022,1.03044,1.00419
1.00025,1.00118,1.00222,1.03058,1.00438
0.99976,1.00122,1.00225,1.03071,1.00445
0.99958,1.00126,1.00227,1.03082,1.00453
0.99966,1.00129,1.00229,1.03093,1.00467
0.99955,1.00132,1.00232,1.03102,1.00476
1.00017,1.00136,1.00234,1.0311,1.00497
0.99962,1.00139,1.00236,1.03117,1.00501
1.00035,1.00142,1.00238,1.03123,1.00512
0.99981,1.00147,1.0024,1.03128,1.00521
1.00018,1.00149,1.00243,1.03131,1.00533
1.00039,1.00154,1.00245,1.03133,1.00551
0.99966,1.0016,1.00247,1.03134,1.00569
1.00057,1.00165,1.00249,1.03134,1.00587
1.00076,1.0017,1.00251,1.03133,1.00622
0.9999,1.00174,1.00253,1.0313,1.00641
1.00022,1.00178,1.00255,1.03126,1.00649
0.99922,1.00183,1.00257,1.03122,1.00653
0.9997,1.00186,1.00259,1.03115,1.00648
1.00008,1.00189,1.00261,1.03108,1.00657
0.99947,1.00194,1.00263,1.031,1.0066
0.99989,1.00196,1.00264,1.0309,1.00659
